label	addr	ported_namematch	subsystem
HARD180YR_ISTRAT	$2185bb	True	ported
HARDROT_ISTRAT	$2185fb	True	ported
HARD90YR_ISTRAT	$0a878c	True	ported
HARD90YRFOG_ISTRAT	$0a87a6	True	ported
HARD180YRFOG_ISTRAT	$0a87c0	True	ported
ALLOC_L	$0afa82	True	other
SHARKA_INIT	$08c216	True	ported
SHARK_ISTRAT	$08c0e1	True	ported
SHARK_CONT2	$08c168	True	ported
SHARK_STRAT	$08c11c	True	ported
SHARK_CONT	$08c1fb	True	ported
SHARKA_STRAT	$08c236	True	ported
LMARKEXPLODE_ISTRAT	$06b39b	True	ported
FZACO_STRAT	$08a93a	True	ported
FZACO2_INIT	$08a94e	True	ported
FZACO3_INIT	$08aa3b	True	ported
FZACO_CONT	$08aa83	True	ported
FZACO2_STRAT	$08a95f	True	ported
FZACO_CONT2	$08ab14	True	ported
FZACO3_STRAT	$08aa4e	True	ported
FZACO_ISTRAT	$08a8f0	True	ported
PBEAM_STRAT	$21a17a	True	ported
PBEAM_ISTRAT	$21a10f	True	ported
AIRSHIP_ISTRAT	$09e124	True	ported
AIRCAR1_STRAT	$0ae0ba	True	ported
AIRCAR2_STRAT	$0ae15d	True	ported
AIRCAR3_STRAT	$0ae269	True	ported
AIRCAR4_STRAT	$0ae3bd	True	ported
AIRCAR5_STRAT	$0ae4b2	True	ported
AIRCAR1_ISTRAT	$0ae082	True	ported
AIRCAR2_ISTRAT	$0ae129	True	ported
AIRCAR3_ISTRAT	$0ae22b	True	ported
AIRCAR4_ISTRAT	$0ae387	True	ported
AIRCAR5_ISTRAT	$0ae470	True	ported
NALVELVECS_L	$1fc189	True	math_helper
NALVEL3VECS_L	$1fc428	True	math_helper
MMAKE_PARTICLES	$01d1a8	True	render_dma
MMARKEXPLODE_ISTRAT	$06b36d	True	ported
MISSILESOUND_L	$249146	True	ported
MISSILE2A_STRAT	$219d9a	True	ported
MISSCOL_ISTRAT	$218a0b	True	ported
MISSILE1_ISTRAT	$219cc4	True	ported
MISSILE2_ISTRAT	$219d68	True	ported
MISSILE1_STRAT	$219ce7	True	ported
MISSTANK_ISTRAT	$08b697	True	ported
MISSPOD_STRAT	$08e649	True	ported
MISSTANKEXP_ISTRAT	$08b67a	True	ported
MISSPODA_STRAT	$08e681	True	ported
MISSGO_ISTRAT	$08b7b8	True	ported
MISSTANK_STRAT	$08b720	True	ported
MISSPODA_INIT	$08e66e	True	ported
MISSPOD_ISTRAT	$08e60a	True	ported
PKANI_SHOT.SHOOT_FIRE	$04c190	True	structural
BREAK_METEORT_ISTRAT	$209aec	True	ported
BREAK_METEOR_ISTRAT	$209ad7	True	ported
CLEARMAP_L	$1fd3f8	True	ported
CLEARHVOFS_L	$02ef92	True	other
CLEARSPRITES_L	$03dc52	True	render_dma
CLEARREALOBJMAP_L	$1fd415	True	ported
REBELASERCOL_ISTRAT	$218822	True	ported
PLANETDMAPOS1	$038000	True	structural
PLANETDMAPOS2	$038002	True	structural
PLAYERSND	$248d4c	True	ported
PLANETSEQ_L	$03b2f1	True	ported
PALGOTO_L	$02f25f	True	render_dma
PLANET_ROTZ	$03bad1	True	math_helper
PLAYERBEAMDIE_ISTRAT	$21a22c	True	ported
PLAYERDOWNINTRO_CONT	$078a59	True	ported
PLAYERDOWNINTRO_ISTRAT	$0788e6	True	ported
PLAYERDOWN2INTRO_ISTRAT	$078a8c	True	ported
PLAYERDOWN3INTRO_ISTRAT	$078b37	True	ported
PLAYERFIREINTRO_ISTRAT	$078be2	True	ported
PLAYERDOWNINTRO_STRAT	$07892f	True	ported
PLAYERDOWN2INTRO_STRAT	$078acb	True	ported
PLAYERDOWN3INTRO_STRAT	$078b76	True	ported
PLAYERFIREINTRO_STRAT	$078bf9	True	ported
PLAYERCLEARBRIDGE3_STRAT	$0b941b	True	ported
PLAYEROPENINGBOOST_INIT	$0b81c4	True	ported
PLAYERINTOLB1A_ISTRAT	$0b925c	True	ported
PLAYERCLEARBRIDGE_ISTRAT	$0b9350	True	ported
PLAYERUNDER2_STRAT	$0ba218	True	ported
PLAYERONBRIDGE_ISTRAT	$0bbe60	True	ported
PLAYERCHASE2_INIT	$0ba0e7	True	ported
PLAYERSTART_INIT_L	$0bd2f1	True	ported
PLAYERCLEARBRIDGE_STRAT	$0b93a2	True	ported
PLAYERONBRIDGE_STRAT	$0bbf54	True	ported
PLAYERCLEARDEMO2_STRAT	$0b9634	True	ported
PLAYERCLEARUNDER_ISTRAT	$0ba127	True	ported
PLAYERCLEARUNDER_STRAT	$0ba181	True	ported
PLAYERUNDERGND_ISTRAT	$0bbc27	True	ported
PLAYERESCAPENUCLEUS2_INIT	$0b948a	True	ported
PLAYEREXITBASEFOLLOW_INIT	$0b90c2	True	ported
PLAYEROUTOFLB2A_STRAT	$0ba695	True	ported
PLAYEROPENINGBOOST_STRAT	$0b820d	True	ported
PLAYERINTUNNEL_STRAT	$0bbf7b	True	ported
PLAYERINTOLB1_ISTRAT	$0b92b3	True	ported
PLAYERCLEARDEMO_ISTRAT	$0b9561	True	ported
